BookID,Title,Authors,Score,ISBN,ISBN13,Language,Num_Pages,Ratings_Count,Text_Reviews_Count,Publication_Date,Publisher,Type
18646,Galileo's Daughter: A Historical Memoir of Science  Faith and Love,Dava Sobel,3.76,0140280553,9780140280555,eng,420,24290,1323,2000-11-01,Penguin Books (NYC),Book
18655,Shopgirl,Steve Martin,3.43,0786866586,9780786866588,eng,130,1229,147,2000-09-11,Hyperio,Book
18723,Brick Lane,Monica Ali,3.41,0743243315,9780743243315,eng,432,23848,1465,2004-06-02,Scribner,Book
18728,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,Doris Kearns Goodwin,4.18,0684804484,9780684804484,eng,633,37093,1171,1995-10-01,Simon & Schuster,Book
18736,Going to Pieces Without Falling Apart: A Buddhist Perspective on Wholeness,Mark Epstein/Charlie Conrad,3.9,0767902351,9780767902359,eng,200,4473,228,1999-06-01,Harmony,Book
18745,Female Chauvinist Pigs: Women and the Rise of Raunch Culture,Ariel Levy,3.68,0743284283,9780743284288,en-US,236,8511,765,2006-10-03,Free Press,Book
18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,2006-09-12,Knopf,Book
18750,Beauty's Punishment (Sleeping Beauty  #2),A.N. Roquelaure/Anne Rice,3.62,0452281431,9780452281431,eng,233,22255,710,1999-05-01,Penguin Books,Book
18753,The World's Last Night: And Other Essays,C.S. Lewis,4.18,0156027712,9780156027717,en-GB,132,1097,117,2002-11-04,Mariner Books,Book
18757,Last Night: Stories,James Salter,3.9,1400078415,9781400078417,eng,132,1825,186,2006-03-14,Vintage,Book
